,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
0,75.0,71.0,97.0,56.0,113.0
1,74.0,75.0,74.0,104.0,149.0
2,56.0,96.0,124.0,59.0,107.0
3,85.0,57.0,89.0,73.0,68.0
4,52.0,99.0,101.0,101.0,87.0
5,74.0,87.0,66.0,82.0,94.0
6,62.0,75.0,116.0,86.0,88.0
7,77.0,56.0,90.0,69.0,94.0
8,66.0,68.0,94.0,97.0,89.0
9,82.0,90.0,150.0,103.0,85.0
10,62.0,56.0,105.0,77.0,85.0
11,75.0,89.0,159.0,73.0,104.0
12,76.0,65.0,69.0,83.0,119.0
13,76.0,199.0,58.0,81.0,101.0
14,59.0,138.0,61.0,90.0,102.0
15,67.0,289.0,93.0,85.0,91.0
16,84.0,156.0,140.0,94.0,148.0
17,63.0,107.0,91.0,76.0,85.0
18,73.0,103.0,121.0,127.0,93.0
19,85.0,161.0,156.0,117.0,128.0
20,74.0,111.0,153.0,167.0,279.0
21,84.0,106.0,134.0,105.0,138.0
22,91.0,151.0,155.0,131.0,204.0
23,67.0,149.0,197.0,319.0,90.0
24,85.0,180.0,205.0,197.0,218.0
25,81.0,105.0,271.0,190.0,103.0
26,63.0,175.0,167.0,370.0,102.0
27,161.0,148.0,175.0,88.0,114.0
28,121.0,174.0,200.0,152.0,154.0
29,171.0,100.0,134.0,374.0,161.0
30,69.0,211.0,110.0,150.0,112.0
31,62.0,93.0,242.0,135.0,498.0
32,189.0,193.0,174.0,252.0,205.0
33,98.0,242.0,124.0,497.0,85.0
34,148.0,137.0,120.0,296.0,287.0
35,123.0,179.0,184.0,150.0,240.0
36,135.0,468.0,163.0,161.0,145.0
37,215.0,164.0,246.0,230.0,278.0
38,231.0,121.0,713.0,453.0,94.0
39,144.0,506.0,128.0,129.0,164.0
40,110.0,95.0,123.0,150.0,887.0
41,178.0,167.0,100.0,566.0,103.0
42,194.0,288.0,212.0,317.0,120.0
43,141.0,156.0,237.0,506.0,145.0
44,433.0,104.0,142.0,284.0,106.0
45,281.0,199.0,167.0,184.0,109.0
46,215.0,210.0,279.0,173.0,114.0
47,208.0,120.0,168.0,187.0,112.0
